,30_mean_rewards
258,9.491382113821137
259,9.675357142857141
260,9.277250000000006
261,9.524653465346539
262,7.778750000000017
263,9.631724137931036
264,9.53713114754098
265,9.749565217391307
266,9.541764705882352
267,9.751847826086953
268,9.67335937500001
269,8.682112676056338
270,9.57757009345795
271,9.810808080808085
272,9.709017857142857
273,9.777961165048547
274,9.777653061224488
275,8.192560975609773
276,9.7549494949495
277,9.43263636363636
278,9.689892473118277
279,8.316854838709684
280,9.663673469387756
281,9.626759776536318
282,8.097317073170718
283,8.789636363636374
284,8.836900000000004
285,9.527899999999997
286,9.65423076923077
287,9.138703703703703
288,9.460322580645167
289,9.774811320754713
290,9.268613861386138
291,9.627999999999998
292,8.659875000000003
293,9.723577235772362
294,9.64172043010753
295,8.487209302325596
296,9.708333333333332
297,9.052307692307688
298,8.60280373831777
299,9.773125000000006
300,9.772352941176473
301,8.604105263157908
302,8.819805825242717
303,9.713269230769232
304,9.813980582524273
305,9.507764705882353
306,9.542608695652177
307,9.565794392523363
308,9.255365853658523
309,9.52842105263158
310,9.696631578947365
311,9.6769696969697
312,8.792765957446806
313,9.766879432624116
314,9.797719298245614
315,9.760283018867922
316,8.710100000000013
317,8.957333333333327
318,9.75659793814433
319,9.460096153846154
320,8.579560439560453
321,9.75872549019608
322,9.829782608695654
323,8.815478260869574
324,9.811444444444446
325,9.81878787878788
326,9.086355932203396
327,9.780329670329671
328,8.3959090909091
329,8.793238095238106
330,8.418157894736831
331,9.822558139534882
332,9.799797979797978
333,9.775233644859814
334,8.75589743589744
335,9.81886075949367
336,8.185876288659777
337,9.336868686868682
338,9.019454545454542
339,9.597093023255816
340,9.701858407079651
341,9.637857142857143
342,9.621847826086961
343,8.823235294117653
344,8.819157894736849
345,9.302897196261677
346,9.807659574468088
347,8.896324786324785
348,9.66416666666667
349,8.980084033613446
350,9.138804347826085
351,9.807111111111114
352,9.075999999999995
353,9.108921568627458
354,9.110449438202254
355,8.19403846153847
356,9.691363636363638
357,9.290000000000003
358,9.771170212765956
359,9.790560747663557
360,9.432619047619047
361,9.585038759689922
362,8.41057971014492
363,9.522907801418445
364,9.813815789473685
365,9.802247191011237
366,9.006249999999996
367,9.768899082568804
368,9.26855721393035
369,6.207000000000022
370,9.334285714285718
371,9.777946428571436
372,9.792
373,9.822197802197799
374,9.684095238095237
375,9.614173913043484
376,9.796597938144332
377,9.478247422680402
378,9.79156862745098
379,8.5695238095238
380,9.31575
381,9.675254237288136
382,9.831718750000004
383,9.290909090909084
384,9.795595238095242
385,9.821683168316833
386,9.829999999999997
387,9.828878504672895
388,9.49
389,9.458316831683169
390,8.738791208791211
391,8.787700000000006
392,9.754660194174756
393,9.825742574257427
394,9.810263157894736
395,9.04951807228915
396,9.630645161290323
397,9.632210526315792
398,8.824190476190484
399,8.950082644628113
400,9.691609195402295
401,8.701700000000011
402,9.817472527472532
403,9.783584905660375
404,8.882121212121207
405,9.65640776699029
406,9.801000000000005
407,8.792906976744181
408,9.810309278350513
409,9.32950704225351
410,9.801392405063295
411,8.938571428571422
412,9.087456140350877
413,9.512843137254904
414,9.741391304347825
415,9.810270270270273
416,9.793852459016389
417,9.825108695652174
418,9.811123595505617
419,9.77477064220184
420,9.620000000000001
421,9.474901960784313
422,9.669200000000002
423,9.792043010752689
424,9.808190476190477
425,7.588679245283007
426,9.79153153153153
427,9.762111111111112
